Dataset: VGS1,"Model summary: 157 layers, 7034398 parameters, 0 gradients, 15.8 GFLOPs",,,,,,Note: mAP50 is main accuracy score it ranges from 0.0 to 1.0,Note: VGS is the vintage grocery store image dataset,Note: Fine tuned on 16 imgs,
Class,Images,Instances,P,R,mAP50,"mAP50-95: 100% 1/1 [00:00<00:00,  4.61it/s]",,,,
all,3,699,0.0563,0.0155,0.0324,0.00701,,,,
glass,3,40,0.333,0.025,0.187,0.0375,Best preforming,,,
linen,3,1,0,0,0,0,,,,
metal,3,324,0.0369,0.0494,0.0253,0.00644,,,,
paper,3,325,0.0239,0.0338,0.0143,0.00515,,,,
plastic,3,3,0,0,0,0,,,,
wicker,3,1,0,0,0,0,,,,
wood,3,5,0,0,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,
Dataset: VGS2 w/YOLOv11,"Model summary: 101 layers, 9,416,283 parameters, 0 gradients, 21.3 GFLOPs",,,,,,Note: mAP50 is main accuracy score it ranges from 0.0 to 1.0,Note: VGS is the vintage grocery store image dataset,Note: Fine tuned on 50 imgs,
Class,Images,Instances,P,R,mAP50,"mAP50-95: 100% 1/1 [00:00<00:00,  4.61it/s]",,,,
all,10,1056,0.25,0.0642,0.0656,0.0302,,,,
glass,7,76,0.046,0.0263,0.0199,0.00906,,,,
linen,2,5,1,0,0,0,,,,
metal,10,513,0.246,0.162,0.0794,0.0282,,,,
paper,10,448,0.131,0.118,0.0345,0.0138,,,,
plastic,2,4,0,0,0.0129,0.00771,,,,
wicker,2,3,0,0,0.0479,0.00479,,,,
wood,3,7,0.326,0.143,0.265,0.148,Best preforming,,,
,,,,,,,,,,
Dataset: VGS3 w/YOLO11,"Model summary: 101 layers, 9,416,283 parameters, 0 gradients, 21.3 GFLOPs",,,,,,Note: mAP50 is main accuracy score it ranges from 0.0 to 1.0,Note: Yolov11 model trained on images of historical images of packaging and tested on historical images,,
Class,Images,Instances,P,R,mAP50,"mAP50-95: 100% 1/1 [00:00<00:00,  4.61it/s]",,,,
all,10,1056,0.28,0.0793,0.0721,0.0368,,,, 
glass,7,76,0.109,0.0658,0.0293,0.0135,,,,
linen,2,5,1,0,0,0,,,,
metal,10,513,0.229,0.107,0.0599,0.0244,,,,
paper,10,448,0.149,0.118,0.0414,0.0177,,,,
plastic,2,4,0,0,0,0,,,,
wicker,2,3,0,0,0.0209,0.00419,,,,
wood,3,7,0.475,0.264,0.353,0.197,Best preforming,,,
,,,,,,,,,,
Dataset: Modern Images,"Model summary: 157 layers, 7034398 parameters, 0 gradients, 15.8 GFLOPs",,,,,,Note: mAP50 is main accuracy score it ranges from 0.0 to 1.0,Note: Yolov11 model trained on images of modern packaging and tested on historical images,,
Class,Images,Instances,P,R,mAP50,Notes:,,,,
all,10,1056,N/A,N/A,N/A,Model predicted nearly all instances as plastic,,,,
glass,7,76,N/A,N/A,~0,Misclassified as plastic,,,,
linen,,,N/A,N/A,~0,Misclassified as plastic,,,,
metal,,,N/A,N/A,~0,Misclassified as plastic,,,,
paper,,,N/A,N/A,~0,Misclassified as plastic,,,,
plastic,,,N/A,N/A,N/A,Over-predicted accross all classes,,,,
wicker,,,N/A,N/A,~0,Misclassified as plastic,,,,
wood,,,N/A,N/A,~0,Misclassified as plastic,,,,